Recognition Log: Jotsna Gowda & Diksha Verma,$1 Algorithm
User[all-users],GestureType[all-gestures-types],RandomIteration[1to100],#ofTrainingExamples[E],TrainingSetSize[count],TrainingSetContents[specific-gesture-instances],Candidate[specific-instance],RecoResultGestureType[what-was-recognized],Correct/Incorrect[1or0],RecoResultScore,RecoResultBestMatch[specific-instance],RecoResultNBestSorted
user1,v,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-v-5::::,user1-v-1::::,1,0.9600193365326437,user1-v-1::::,user1-triangle-1-0.9600193365326437::::user1-delete-4-0.9600193365326437::::user1-circle-0-0.9600193365326437::::user1-caret-3-0.9600193365326437::::user1-check-5-0.9600193365326437::::user1-left-square-bracket-2-0.9600193365326437::::user1-zig-zig-1-0.9600193365326437::::user1-arrow-2-0.9600193365326437::::user1-pigtail-9-0.9600193365326437::::user1-x-6-0.9600193365326437::::user1-right-square-bracket-5-0.9600193365326437::::user1-rectangle-5-0.9600193365326437::::user1-star-2-0.9600193365326437::::user1-left-curly-brace-4-0.9600193365326437::::user1-right-curly-brace-6-0.9600193365326437::::user1-v-1-0.9600193365326437::::user1-v-1--inf::::
user1,triangle,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-triangle-2::::,user1-triangle-1::::,1,0.8920557108174159,user1-triangle-1::::,user1-delete-4-0.8920557108174159::::user1-circle-0-0.8920557108174159::::user1-caret-3-0.8920557108174159::::user1-check-5-0.8920557108174159::::user1-left-square-bracket-2-0.8920557108174159::::user1-zig-zig-1-0.8920557108174159::::user1-arrow-2-0.8920557108174159::::user1-pigtail-9-0.8920557108174159::::user1-x-6-0.8920557108174159::::user1-right-square-bracket-5-0.8920557108174159::::user1-rectangle-5-0.8920557108174159::::user1-star-2-0.8920557108174159::::user1-left-curly-brace-4-0.8920557108174159::::user1-right-curly-brace-6-0.8920557108174159::::user1-triangle-1-0.8920557108174159::::user1-triangle-1-0.4881798049908751::::user1-v-1--inf::::
user1,delete,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-delete-9::::,user1-delete-4::::,1,0.759000749880257,user1-delete-4::::,user1-circle-0-0.759000749880257::::user1-caret-3-0.759000749880257::::user1-check-5-0.759000749880257::::user1-left-square-bracket-2-0.759000749880257::::user1-zig-zig-1-0.759000749880257::::user1-arrow-2-0.759000749880257::::user1-pigtail-9-0.759000749880257::::user1-x-6-0.759000749880257::::user1-right-square-bracket-5-0.759000749880257::::user1-rectangle-5-0.759000749880257::::user1-star-2-0.759000749880257::::user1-left-curly-brace-4-0.759000749880257::::user1-right-curly-brace-6-0.759000749880257::::user1-delete-4-0.759000749880257::::user1-triangle-1-0.673331810198835::::user1-delete-4-0.673331810198835::::user1-v-1--inf::::
user1,circle,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-circle-7::::,user1-circle-0::::,1,0.9389577345346156,user1-circle-0::::,user1-caret-3-0.9389577345346156::::user1-check-5-0.9389577345346156::::user1-left-square-bracket-2-0.9389577345346156::::user1-zig-zig-1-0.9389577345346156::::user1-arrow-2-0.9389577345346156::::user1-pigtail-9-0.9389577345346156::::user1-x-6-0.9389577345346156::::user1-right-square-bracket-5-0.9389577345346156::::user1-rectangle-5-0.9389577345346156::::user1-star-2-0.9389577345346156::::user1-left-curly-brace-4-0.9389577345346156::::user1-right-curly-brace-6-0.9389577345346156::::user1-circle-0-0.9389577345346156::::user1-delete-4-0.8038775710328993::::user1-circle-0-0.8038775710328993::::user1-triangle-1-0.44208545051752::::user1-v-1--inf::::
user1,caret,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-caret-0::::,user1-caret-3::::,1,0.8433566745308751,user1-caret-3::::,user1-check-5-0.8433566745308751::::user1-left-square-bracket-2-0.8433566745308751::::user1-zig-zig-1-0.8433566745308751::::user1-arrow-2-0.8433566745308751::::user1-pigtail-9-0.8433566745308751::::user1-x-6-0.8433566745308751::::user1-right-square-bracket-5-0.8433566745308751::::user1-rectangle-5-0.8433566745308751::::user1-star-2-0.8433566745308751::::user1-left-curly-brace-4-0.8433566745308751::::user1-right-curly-brace-6-0.8433566745308751::::user1-caret-3-0.8433566745308751::::user1-circle-0-0.4430653108465876::::user1-caret-3-0.4430653108465876::::user1-triangle-1-0.34286806174653317::::user1-delete-4-0.34286806174653317::::user1-v-1--inf::::
user1,check,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-check-0::::,user1-check-5::::,1,0.9499907271518148,user1-check-5::::,user1-left-square-bracket-2-0.9499907271518148::::user1-zig-zig-1-0.9499907271518148::::user1-arrow-2-0.9499907271518148::::user1-pigtail-9-0.9499907271518148::::user1-x-6-0.9499907271518148::::user1-right-square-bracket-5-0.9499907271518148::::user1-rectangle-5-0.9499907271518148::::user1-star-2-0.9499907271518148::::user1-left-curly-brace-4-0.9499907271518148::::user1-right-curly-brace-6-0.9499907271518148::::user1-check-5-0.9499907271518148::::user1-triangle-1-0.6286771346085154::::user1-delete-4-0.6286771346085154::::user1-circle-0-0.6286771346085154::::user1-caret-3-0.6286771346085154::::user1-check-5-0.6286771346085154::::user1-v-1--inf::::
user1,left-square-bracket,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-left-square-bracket-4::::,user1-left-square-bracket-2::::,1,0.9108969589249089,user1-left-square-bracket-2::::,user1-zig-zig-1-0.9108969589249089::::user1-arrow-2-0.9108969589249089::::user1-pigtail-9-0.9108969589249089::::user1-x-6-0.9108969589249089::::user1-right-square-bracket-5-0.9108969589249089::::user1-rectangle-5-0.9108969589249089::::user1-star-2-0.9108969589249089::::user1-left-curly-brace-4-0.9108969589249089::::user1-right-curly-brace-6-0.9108969589249089::::user1-left-square-bracket-2-0.9108969589249089::::user1-left-square-bracket-2-0.7732523329195862::::user1-triangle-1-0.7212489164582647::::user1-delete-4-0.7212489164582647::::user1-circle-0-0.7212489164582647::::user1-caret-3-0.7212489164582647::::user1-check-5-0.7212489164582647::::user1-v-1--inf::::
user1,zig-zig,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-zig-zig-2::::,user1-zig-zig-1::::,1,0.8436164282243155,user1-zig-zig-1::::,user1-arrow-2-0.8436164282243155::::user1-pigtail-9-0.8436164282243155::::user1-x-6-0.8436164282243155::::user1-right-square-bracket-5-0.8436164282243155::::user1-rectangle-5-0.8436164282243155::::user1-star-2-0.8436164282243155::::user1-left-curly-brace-4-0.8436164282243155::::user1-right-curly-brace-6-0.8436164282243155::::user1-zig-zig-1-0.8436164282243155::::user1-zig-zig-1-0.5293606471047285::::user1-left-square-bracket-2-0.5057603703801006::::user1-triangle-1-0.4785831057950941::::user1-delete-4-0.4785831057950941::::user1-circle-0-0.4785831057950941::::user1-caret-3-0.4785831057950941::::user1-check-5-0.4785831057950941::::user1-v-1--inf::::
user1,arrow,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-arrow-6::::,user1-arrow-2::::,1,0.8740920409887432,user1-arrow-2::::,user1-pigtail-9-0.8740920409887432::::user1-x-6-0.8740920409887432::::user1-right-square-bracket-5-0.8740920409887432::::user1-rectangle-5-0.8740920409887432::::user1-star-2-0.8740920409887432::::user1-left-curly-brace-4-0.8740920409887432::::user1-right-curly-brace-6-0.8740920409887432::::user1-arrow-2-0.8740920409887432::::user1-check-5-0.7006240711670615::::user1-left-square-bracket-2-0.7006240711670615::::user1-zig-zig-1-0.7006240711670615::::user1-arrow-2-0.7006240711670615::::user1-triangle-1-0.36560658345722663::::user1-delete-4-0.36560658345722663::::user1-circle-0-0.36560658345722663::::user1-caret-3-0.36560658345722663::::user1-v-1--inf::::
user1,pigtail,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-pigtail-8::::,user1-x-6::::,0,0.8594243528325077,user1-x-6::::,user1-right-square-bracket-5-0.8594243528325077::::user1-rectangle-5-0.8594243528325077::::user1-star-2-0.8594243528325077::::user1-left-curly-brace-4-0.8594243528325077::::user1-right-curly-brace-6-0.8594243528325077::::user1-x-6-0.8594243528325077::::user1-x-6-0.8443132724165268::::user1-check-5-0.7337267692399205::::user1-left-square-bracket-2-0.7337267692399205::::user1-zig-zig-1-0.7337267692399205::::user1-arrow-2-0.7337267692399205::::user1-pigtail-9-0.7337267692399205::::user1-circle-0-0.48409866434957827::::user1-caret-3-0.48409866434957827::::user1-delete-4-0.37641019855399227::::user1-triangle-1-0.305360958940313::::user1-v-1--inf::::
user1,x,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-x-5::::,user1-x-6::::,1,0.870736750830908,user1-x-6::::,user1-right-square-bracket-5-0.870736750830908::::user1-rectangle-5-0.870736750830908::::user1-star-2-0.870736750830908::::user1-left-curly-brace-4-0.870736750830908::::user1-right-curly-brace-6-0.870736750830908::::user1-x-6-0.870736750830908::::user1-x-6-0.8091726162411068::::user1-check-5-0.6738156293949954::::user1-left-square-bracket-2-0.6738156293949954::::user1-zig-zig-1-0.6738156293949954::::user1-arrow-2-0.6738156293949954::::user1-pigtail-9-0.6738156293949954::::user1-circle-0-0.45985696019990274::::user1-caret-3-0.45985696019990274::::user1-delete-4-0.43723369347756547::::user1-triangle-1-0.35339312102181686::::user1-v-1--inf::::
user1,right-square-bracket,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-right-square-bracket-4::::,user1-right-square-bracket-5::::,1,0.8744285929780343,user1-right-square-bracket-5::::,user1-rectangle-5-0.8744285929780343::::user1-star-2-0.8744285929780343::::user1-left-curly-brace-4-0.8744285929780343::::user1-right-curly-brace-6-0.8744285929780343::::user1-right-square-bracket-5-0.8744285929780343::::user1-pigtail-9-0.7812426303072162::::user1-x-6-0.7812426303072162::::user1-right-square-bracket-5-0.7812426303072162::::user1-arrow-2-0.692763087369223::::user1-check-5-0.5989944031846561::::user1-left-square-bracket-2-0.5989944031846561::::user1-zig-zig-1-0.5989944031846561::::user1-triangle-1-0.40312302545698875::::user1-delete-4-0.40312302545698875::::user1-circle-0-0.40312302545698875::::user1-caret-3-0.40312302545698875::::user1-v-1--inf::::
user1,rectangle,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-rectangle-7::::,user1-rectangle-5::::,1,0.9593571841280201,user1-rectangle-5::::,user1-star-2-0.9593571841280201::::user1-left-curly-brace-4-0.9593571841280201::::user1-right-curly-brace-6-0.9593571841280201::::user1-rectangle-5-0.9593571841280201::::user1-caret-3-0.8549636378171364::::user1-check-5-0.8549636378171364::::user1-left-square-bracket-2-0.8549636378171364::::user1-zig-zig-1-0.8549636378171364::::user1-arrow-2-0.8549636378171364::::user1-pigtail-9-0.8549636378171364::::user1-x-6-0.8549636378171364::::user1-right-square-bracket-5-0.8549636378171364::::user1-rectangle-5-0.8549636378171364::::user1-delete-4-0.8258509974557477::::user1-circle-0-0.8258509974557477::::user1-triangle-1-0.5354568305447125::::user1-v-1--inf::::
user1,star,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-star-0::::,user1-star-2::::,1,0.7513646408197772,user1-star-2::::,user1-left-curly-brace-4-0.7513646408197772::::user1-right-curly-brace-6-0.7513646408197772::::user1-star-2-0.7513646408197772::::user1-right-square-bracket-5-0.5707061906916542::::user1-rectangle-5-0.5707061906916542::::user1-star-2-0.5707061906916542::::user1-delete-4-0.4892910734838518::::user1-circle-0-0.4892910734838518::::user1-caret-3-0.4892910734838518::::user1-check-5-0.4892910734838518::::user1-left-square-bracket-2-0.4892910734838518::::user1-zig-zig-1-0.4892910734838518::::user1-arrow-2-0.4892910734838518::::user1-pigtail-9-0.4892910734838518::::user1-x-6-0.4892910734838518::::user1-triangle-1-0.37854839712550903::::user1-v-1--inf::::
user1,left-curly-brace,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-left-curly-brace-7::::,user1-left-curly-brace-4::::,1,0.8867622524244764,user1-left-curly-brace-4::::,user1-right-curly-brace-6-0.8867622524244764::::user1-left-curly-brace-4-0.8867622524244764::::user1-zig-zig-1-0.8166386420813572::::user1-arrow-2-0.8166386420813572::::user1-pigtail-9-0.8166386420813572::::user1-x-6-0.8166386420813572::::user1-right-square-bracket-5-0.8166386420813572::::user1-rectangle-5-0.8166386420813572::::user1-star-2-0.8166386420813572::::user1-left-curly-brace-4-0.8166386420813572::::user1-triangle-1-0.735249662246297::::user1-delete-4-0.735249662246297::::user1-circle-0-0.735249662246297::::user1-caret-3-0.735249662246297::::user1-check-5-0.735249662246297::::user1-left-square-bracket-2-0.735249662246297::::user1-v-1--inf::::
user1,right-curly-brace,0,1,16,user1-v-1user1-triangle-1user1-delete-4user1-circle-0user1-caret-3user1-check-5user1-left-square-bracket-2user1-zig-zig-1user1-arrow-2user1-pigtail-9user1-x-6user1-right-square-bracket-5user1-rectangle-5user1-star-2user1-left-curly-brace-4user1-right-curly-brace-6,user1-right-curly-brace-9::::,user1-right-curly-brace-6::::,1,0.8241687692313164,user1-right-curly-brace-6::::,user1-right-curly-brace-6-0.8241687692313164::::user1-rectangle-5-0.823338012718936::::user1-star-2-0.823338012718936::::user1-left-curly-brace-4-0.823338012718936::::user1-right-curly-brace-6-0.823338012718936::::user1-pigtail-9-0.817901232577346::::user1-x-6-0.817901232577346::::user1-right-square-bracket-5-0.817901232577346::::user1-check-5-0.6965941825739248::::user1-left-square-bracket-2-0.6965941825739248::::user1-zig-zig-1-0.6965941825739248::::user1-arrow-2-0.6965941825739248::::user1-triangle-1-0.3661371777648468::::user1-delete-4-0.3661371777648468::::user1-circle-0-0.3661371777648468::::user1-caret-3-0.3661371777648468::::user1-v-1--inf::::
user2,v,0,1,16,user2-v-1user2-triangle-4user2-delete-5user2-circle-3user2-caret-0user2-check-1user2-left-square-bracket-1user2-zig-zig-2user2-arrow-8user2-pigtail-4user2-x-4user2-right-square-bracket-0user2-rectangle-4user2-star-2user2-left-curly-brace-0user2-right-curly-brace-6,user2-v-8::::,user2-right-square-bracket-0::::,0,0.7888993994971638,user2-right-square-bracket-0::::,user2-rectangle-4-0.7888993994971638::::user2-star-2-0.7888993994971638::::user2-left-curly-brace-0-0.7888993994971638::::user2-right-curly-brace-6-0.7888993994971638::::user2-right-square-bracket-0-0.7888993994971638::::user2-arrow-8-0.7142667892801899::::user2-pigtail-4-0.7142667892801899::::user2-x-4-0.7142667892801899::::user2-right-square-bracket-0-0.7142667892801899::::user2-check-1-0.5477894433364994::::user2-left-square-bracket-1-0.5477894433364994::::user2-zig-zig-2-0.5477894433364994::::user2-triangle-4-0.3599003644232711::::user2-delete-5-0.3599003644232711::::user2-circle-3-0.3599003644232711::::user2-caret-0-0.3599003644232711::::user2-v-1--inf::::
user2,triangle,0,1,16,user2-v-1user2-triangle-4user2-delete-5user2-circle-3user2-caret-0user2-check-1user2-left-square-bracket-1user2-zig-zig-2user2-arrow-8user2-pigtail-4user2-x-4user2-right-square-bracket-0user2-rectangle-4user2-star-2user2-left-curly-brace-0user2-right-curly-brace-6,user2-triangle-0::::,user2-triangle-4::::,1,0.9147429577348297,user2-triangle-4::::,user2-delete-5-0.9147429577348297::::user2-circle-3-0.9147429577348297::::user2-caret-0-0.9147429577348297::::user2-check-1-0.9147429577348297::::user2-left-square-bracket-1-0.9147429577348297::::user2-zig-zig-2-0.9147429577348297::::user2-arrow-8-0.9147429577348297::::user2-pigtail-4-0.9147429577348297::::user2-x-4-0.9147429577348297::::user2-right-square-bracket-0-0.9147429577348297::::user2-rectangle-4-0.9147429577348297::::user2-star-2-0.9147429577348297::::user2-left-curly-brace-0-0.9147429577348297::::user2-right-curly-brace-6-0.9147429577348297::::user2-triangle-4-0.9147429577348297::::user2-triangle-4-0.4342261025050108::::user2-v-1--inf::::
user2,delete,0,1,16,user2-v-1user2-triangle-4user2-delete-5user2-circle-3user2-caret-0user2-check-1user2-left-square-bracket-1user2-zig-zig-2user2-arrow-8user2-pigtail-4user2-x-4user2-right-square-bracket-0user2-rectangle-4user2-star-2user2-left-curly-brace-0user2-right-curly-brace-6,user2-delete-0::::,user2-delete-5::::,1,0.8692244826283411,user2-delete-5::::,user2-circle-3-0.8692244826283411::::user2-caret-0-0.8692244826283411::::user2-check-1-0.8692244826283411::::user2-left-square-bracket-1-0.8692244826283411::::user2-zig-zig-2-0.8692244826283411::::user2-arrow-8-0.8692244826283411::::user2-pigtail-4-0.8692244826283411::::user2-x-4-0.8692244826283411::::user2-right-square-bracket-0-0.8692244826283411::::user2-rectangle-4-0.8692244826283411::::user2-star-2-0.8692244826283411::::user2-left-curly-brace-0-0.8692244826283411::::user2-right-curly-brace-6-0.8692244826283411::::user2-delete-5-0.8692244826283411::::user2-triangle-4-0.5061020409614915::::user2-delete-5-0.5061020409614915::::user2-v-1--inf::::
user2,circle,0,1,16,user2-v-1user2-triangle-4user2-delete-5user2-circle-3user2-caret-0user2-check-1user2-left-square-bracket-1user2-zig-zig-2user2-arrow-8user2-pigtail-4user2-x-4user2-right-square-bracket-0user2-rectangle-4user2-star-2user2-left-curly-brace-0user2-right-curly-brace-6,user2-circle-5::::,user2-circle-3::::,1,0.9645376469301217,user2-circle-3::::,user2-caret-0-0.9645376469301217::::user2-check-1-0.9645376469301217::::user2-left-square-bracket-1-0.9645376469301217::::user2-zig-zig-2-0.9645376469301217::::user2-arrow-8-0.9645376469301217::::user2-pigtail-4-0.9645376469301217::::user2-x-4-0.9645376469301217::::user2-right-square-bracket-0-0.9645376469301217::::user2-rectangle-4-0.9645376469301217::::user2-star-2-0.9645376469301217::::user2-left-curly-brace-0-0.9645376469301217::::user2-right-curly-brace-6-0.9645376469301217::::user2-circle-3-0.9645376469301217::::user2-delete-5-0.8447657185261046::::user2-circle-3-0.8447657185261046::::user2-triangle-4-0.40147315667049477::::user2-v-1--inf::::
user2,caret,0,1,16,user2-v-1user2-triangle-4user2-delete-5user2-circle-3user2-caret-0user2-check-1user2-left-square-bracket-1user2-zig-zig-2user2-arrow-8user2-pigtail-4user2-x-4user2-right-square-bracket-0user2-rectangle-4user2-star-2user2-left-curly-brace-0user2-right-curly-brace-6,user2-caret-6::::,user2-caret-0::::,1,0.8017817588328849,user2-caret-0::::,user2-check-1-0.8017817588328849::::user2-left-square-bracket-1-0.8017817588328849::::user2-zig-zig-2-0.8017817588328849::::user2-arrow-8-0.8017817588328849::::user2-pigtail-4-0.8017817588328849::::user2-x-4-0.8017817588328849::::user2-right-square-bracket-0-0.8017817588328849::::user2-rectangle-4-0.8017817588328849::::user2-star-2-0.8017817588328849::::user2-left-curly-brace-0-0.8017817588328849::::user2-right-curly-brace-6-0.8017817588328849::::user2-caret-0-0.8017817588328849::::user2-triangle-4-0.32455393374721686::::user2-delete-5-0.32455393374721686::::user2-circle-3-0.32455393374721686::::user2-caret-0-0.32455393374721686::::user2-v-1--inf::::
user2,check,0,1,16,user2-v-1user2-triangle-4user2-delete-5user2-circle-3user2-caret-0user2-check-1user2-left-square-bracket-1user2-zig-zig-2user2-arrow-8user2-pigtail-4user2-x-4user2-right-square-bracket-0user2-rectangle-4user2-star-2user2-left-curly-brace-0user2-right-curly-brace-6,user2-check-6::::,user2-check-1::::,1,0.9541094797026969,user2-check-1::::,user2-left-square-bracket-1-0.9541094797026969::::user2-zig-zig-2-0.9541094797026969::::user2-arrow-8-0.9541094797026969::::user2-pigtail-4-0.9541094797026969::::user2-x-4-0.9541094797026969::::user2-right-square-bracket-0-0.9541094797026969::::user2-rectangle-4-0.9541094797026969::::user2-star-2-0.9541094797026969::::user2-left-curly-brace-0-0.9541094797026969::::user2-right-curly-brace-6-0.9541094797026969::::user2-check-1-0.9541094797026969::::user2-triangle-4-0.7951168748387645::::user2-delete-5-0.7951168748387645::::user2-circle-3-0.7951168748387645::::user2-caret-0-0.7951168748387645::::user2-check-1-0.7951168748387645::::user2-v-1--inf::::
user2,left-square-bracket,0,1,16,user2-v-1user2-triangle-4user2-delete-5user2-circle-3user2-caret-0user2-check-1user2-left-square-bracket-1user2-zig-zig-2user2-arrow-8user2-pigtail-4user2-x-4user2-right-square-bracket-0user2-rectangle-4user2-star-2user2-left-curly-brace-0user2-right-curly-brace-6,user2-left-square-bracket-6::::,user2-left-curly-brace-0::::,0,0.8583780678687863,user2-left-curly-brace-0::::,user2-right-curly-brace-6-0.8583780678687863::::user2-left-curly-brace-0-0.8583780678687863::::user2-left-square-bracket-1-0.8416254709485216::::user2-zig-zig-2-0.8416254709485216::::user2-arrow-8-0.8416254709485216::::user2-pigtail-4-0.8416254709485216::::user2-x-4-0.8416254709485216::::user2-right-square-bracket-0-0.8416254709485216::::user2-rectangle-4-0.8416254709485216::::user2-star-2-0.8416254709485216::::user2-left-curly-brace-0-0.8416254709485216::::user2-triangle-4-0.7217981061776371::::user2-delete-5-0.7217981061776371::::user2-circle-3-0.7217981061776371::::user2-caret-0-0.7217981061776371::::user2-check-1-0.7217981061776371::::user2-v-1--inf::::
